trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-105.77553103333602,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-155.4151333351644,"{0: 11, 1: 5, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-72.43494340724034,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-58.55931472310231,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-63.53415740342068,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-124.04880522963762,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-99.54160808873083,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-10.183860491819514,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,3,-52.55696342894646,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-95.233286043234,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-93.70331090982549,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-208.5237398129741,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,2,-28.807973119445638,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-28.801706179267903,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,5,-71.73169785738759,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-12.639416922137158,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,0.35002922703051853,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,16,6.913534965221418,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,9,12.194557898809155,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,7,-70.23009793425396,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,4.377331751444509,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-57.35383384547041,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,34.387077698477675,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,0,4.520671685073742,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,8,-17.20366039094668,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,27.269138927435517,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-30.918313145888852,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,8,25.96617060791096,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,15,10.200336798268442,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,16.848904448124593,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
