trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999999864662168}",20,0,-168.83489143144118,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9999994586487084}",20,0,-163.28080673119598,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9999987819597312}",25,0,-146.13357913811885,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999978345954197}",20,0,-75.23476994931487,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9999966165560301}",25,0,-203.24004219424725,"{0: 15, 1: 1, 2: 3, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9999951278418923}",30,0,-53.55001424474382,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.999993368453409}",20,0,-80.37714257190926,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9999913383910567}",25,0,-129.4269557576452,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9999890376553848}",20,0,-155.63079797137547,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9999864662470159}",25,7,-75.87641236023212,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9999836241666462}",25,14,-28.523260468222283,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.999980511415045}",20,0,-149.67257568378244,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9999771279930546}",20,0,-36.75318462782644,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
