trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.49667824303498,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.61701450390028,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.93648397522572,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.6365268268273,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,5,-112.49181961751624,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-165.9191688568466,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.37342036373481,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.64689877681083,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.82047233332719,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.6783064022537,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.50504586214143,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.5772119483308,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.90921629460166,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.36671927451275,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.52084298745892,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.35352075080854,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-11.20716848607526,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.63370747925882,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.70339429674847,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.42255426584717,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,3,-47.10829317224585,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.78991574663671,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.24157650034707,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,12,-48.823688432989826,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.48347378736855,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-27.668242675023063,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-38.86506051338073,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,20,-83.75610312969283,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-116.66217581201482,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.68551978171693,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
